Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time
Pearl Millet (BajraBulrush MilletSpiked Millet),rust,RAJASTHAN,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF MENCOZEB 2 GM PER LITER WATER,SPRAY OF MENCOZEB 2 GM PER LITER WATER,SPRAY OF MENCOZEB 2 GM PER LITER WATER,SPRAY OF MENCOZEB 2 GM PER LITER WATER,2.203937
Pearl Millet (BajraBulrush MilletSpiked Millet),ergot,RAJASTHAN,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,2.54082
Pearl Millet (BajraBulrush MilletSpiked Millet),rust,UTTAR PRADESH,Mancozeb 75 WP ki 600800 gram prati acre 200 liter paani me gholkar chidkaav kare,Spray Mancozeb 75 WP at 15kgha Repeat fungicidal application after 10 days,spraying Carbendazim 12  Mancozeb 63 WP  400 gram ml in 150 liter of water,Monocrotophos 36 SL  400500 mlacre  250300   liter pani ke dar se spray,spraying Carbendazim 12  Mancozeb 63 WP  400 gram in 150 liter of water,0.808967
Peas (field peas garden peasmatar),thrips,HIMACHAL PRADESH,spray rogor  1 ml in 1 liter of water,No answer,No answer,No answer,No answer,0.401989
Peas (field peas garden peasmatar),downy mildew,JAMMU AND KASHMIR,No answer,No answer,No answer,No answer,No answer,0.326399
Peas (field peas garden peasmatar),caterpillar,MADHYA PRADESH,recommended for to control caterpillar in field pea  spray to Emamectin benzoate 5  78 grampump,recommended for to control caterpillar in arhar  spray to Emamectin benzoate 5  10 grampump,Recommended for spray  Monocrotophos 36 s L 30 mlpumpand neem oil 1500 ppm  58 ml per pump ,recommended for to control caterpillar in peas  spray to Emamectin benzoate 5  78 grampump,recommended for to control caterpillar in pea  spray to Emamectin benzoate 5  10 grampump,0.669806
Peas (field peas garden peasmatar),white rust,WEST BENGAL,RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75 WP   2 GM   LIT OF WATER,No answer,No answer,No answer,No answer,0.406988
Peas (field peas garden peasmatar),rust,UTTAR PRADESH,Carbendazim 12  Mancozeb 63 WP  400 gramekd ka spray kare,       12   63 WP  500   200            ,      NPK181818  15 kg  150            ,          WP                 ,    25EC          ,0.628898
Pepper,wilt,KERALA,Recommended for  drenching of Bordeaux mixture or PSEUDOMONAS 20 gram or 4 ml in one litre of water,RECOMMENDED TO APPLY BORDEAUX MIXTURE OR COPPER OXY CHLORIDE 3gL AND APPLY NEEM SEED CAKE 500GPLANT,spary Bordeaux mixture or acumin 23 mllitter of water or Copper oxchy chloride 2 mllitter of water,Recommeded for the soli application of lime 500 gram per vine and drenching of bordeaux mixtture,It is recommended to drench soil with Copper Oxy Chloride 25gram per litre of water,0.441617
Pepper,fungus,KERALA,apply 1  bordeaux mixture or pseudomonas 10 gm per 1 litre of water,apply 1  bordeaux mixture or pseudomonas 10 gm per 1 litre of water,pepper fungus attackapply copper oxy chloride (coc) 4 gram litre,pepper fungus attackapply coc 4 gram litre or bordeaux mixture,apply 1  bordeaux mixture or pseudomonas 20 g or 5mllitre,0.496505
Pepper,anthracnose,KERALA,Three rounds of spray with Bordeaux mixture 1 or spray Pseudomonas 20 glitter of water,Recommended to drench and spray Pseudomonas 5 ml per liter of water ,recommended application of pseudomonas 20 gmlit or bordeaux mixture,ManagementThree rounds of spray with Bordeaux mixture 1,Three rounds of spray with Bordeaux mixture 1,0.618643
Pepper,blight,ASSAM,No answer,No answer,No answer,No answer,No answer,0.3285
Pepper,leaf spot,ASSAM,ADVISED TO APPLY BLITOX50  2 GRAM  LITRE OF WATER,SPRAY INDOFIL M 45  2 GM PER LITER OF WATER,advised to spray score  2mllit,No answer,No answer,0.342861
Pigeon pea (red gramarhartur),yellowing,MAHARASHTRA,SPRAY MICROLA 30 ML 15 LITER WATER           SPRAY M 45 30 GM 15 LITER WATER(mancozeb)Dow Agro,SPRAY MICROLA 30 ML 15 LITER WATERSpray Bavistane 30 gm15 Liter of Water(Carbandazin)Basf,SPRAY MICROLA 30 ML 15 LITER WATER      SPRAY M 45 30 GM 15 LITER WATER(mancozeb)Dow Agro,Spray 191919 60 Gram MICROLLA 30 ML  Bavistane 30 Gm15 Liter Of Water (Carbandazin)Basf,Spray 191919 60 gram MICROLLA 30 ML  Bavistane 30 gm15 Liter of Water(Carbandazin)Basf,7.157629
Pigeon pea (red gramarhartur),collar rot,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,11.177549
Pigeon pea (red gramarhartur),canker,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,5.28769
Pigeon pea (red gramarhartur),damping off,MAHARASHTRA,you can spray 200 gram ureabavisteen 30 grammicrola 40 gram pamp water,Drenching of Chloropyriphos 30ml  humic acid 30 ml 15 Lit of Water,Chloropyriphos 30ml  Humic Acid 30ml15 Lit of Water Drenching,234823662357236823602381233523682344 3023272381235223732350,MIX TRICODERMA 2KG COW DUNG 200 KG MIX  APPLY IN SOIL,12.227003
Pigeon pea (red gramarhartur),caterpillar,MAHARASHTRA,CATERPILLAR ATTACK ON PIGEON PEA Spray Proclaim 5gm15lit of Water (Emamectin Benzoate 5 SG)Syngenta,caterpillar attack in pigeon pea  Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,CATERPILLAR ATTACK IN PIGEON PEA   Spray Proclaim 07gm15 liter of Water(Emamectin Benzoate)Syngenta,Caterpillar Attack on Pigeon Pea Spray 005234 30gm  Microlla 40ml  Profex Super 30ml15 lit of water,caterpillar attack in pigeon pea  Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,6.336092
Pineapple,termite,ODISHA,TERMITE ATTACK  SPRAY CHLOROPYRIPHOS 2 MILILITER IN 1 LITER OF WATER,CHLOROPYRIPHOUS 2ML LIT WATER SPRAY,No answer,No answer,No answer,0.375297
Pineapple,root rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.468738
Pineapple,fruit rot,KERALA,No answer,No answer,No answer,No answer,No answer,0.327724
Pineapple,yellowing,BIHAR,Spray copper oxy chloride  2glit water,No answer,No answer,No answer,No answer,0.33751
Pineapple,mealy bug,KARNATAKA,No answer,No answer,No answer,No answer,No answer,0.340897
Plum,canker,JAMMU AND KASHMIR,No answer,No answer,No answer,No answer,No answer,0.346543
Plum,brown rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.460424
Plum,rust,HIMACHAL PRADESH,No answer,No answer,No answer,No answer,No answer,0.3898
Plum,powdery mildew,PUNJAB,No answer,No answer,No answer,No answer,No answer,0.397341
Plum,mealybug,JAMMU AND KASHMIR,No answer,No answer,No answer,No answer,No answer,0.347066
Pomegranate,fruit spot,MAHARASHTRA,spray bromofol 50gm  captan 500gm  100 liter of water for controlling oily spot on pomegranate,234823692352235823682344236623582325236623302368 234723572366235223392368 23252352236623572368,SPRAY 191919  005234   60 GRAMS  MICROLA  40 ML  SCORE  KAVACH  30 GRAMS IN 15 LITER OF WATER,SPRAY CABRIOTOP 3 GM PER LTR OF WATER TO CONTROL ATTACK OF BLACK SPOT ON POMEGRANATE CROP,SPRAY CABRIOTOP 3 GM PER LTR OF WATER TO CONTROL ATTACK OF BLACK SPOT ON POMEGRANATE CROP,8.6974
Pomegranate,anthracnose,MAHARASHTRA,TUMHI DALIMB PIKATIL FALKUJ NIYANTRAN KARITA METALYXEL AMNCOZEB 2 GRAM LITER PANYAT FAWARANI GHYA,attack of anthacnose on pomegranate   Spraying of systemic fungicides namely Hexaconazole 1mllit,spray milastin 2 gm  psudomonous 5 gm  1 liter of water,Spray Bavistane 15 gm15 Liter of Water(Carbandazin)Basf,Spray Bavistane 15 gm15 Liter of Water(Carbandazin)Basf,7.019056
Pomegranate,leaf curl,BIHAR,No answer,No answer,No answer,No answer,No answer,0.61517
Pomegranate,yellowing,MAHARASHTRA,240724152407241524072415  2352237923252379 23302368 234723572366235223392368 23252352236623572368,YELLOWING Spray 191919 60 gm MICROLLA 50 ML Bavistine 30gm15liter of Water(Carbendazim 50)BASF,19 19 19 60 GM   MICROLLA 30 ML  BAVISTIN 30 GM15 LITER WATER191919 60    30   3015    ,Spray 191919 60 gram MICROLLA 30 ML  Bavistane 30 gm15 Liter of Water(Carbandazin)Basf,Spray 191919 60 gram MICROLLA 30 ML  Bavistane 30 gm15 Liter of Water(Carbandazin)Basf,6.010464
Pomegranate,wilt,MAHARASHTRA,For control of wilt on pomegranate Drenching of Redomil Gold 30 GM  Humic Acid 30ml15 Lit of Water,ATTACK OF NEMATODES ON POMEGRANATE DRENCHING OF TRICODERMA 1 KG  200 LITERS OF WATER THROUGH DRIP,for control of wilt in pomegranate  Redomil Gold 45 gmhumic Acid 30 ml(Mephonaxonmancozeb)syngnt,wilt on pomegranate   BAVISTIN 30 GM  HUMIC ACID 30 ML  MICROLA 30 ML 15 LIT ER WATETR DRENCHING,Wilt (Mar)Drenching IN POMOGRANATEBlue Copper 30 gm humic acid 30 ml(Copper Oxichloride)syngenta,3.363255
Poplar,blight,PUNJAB,CONTROL OF SHOOT BLIGHT IN POPLAR SPRAY OF BLITOX  1250 GM IN 500 LITER WATERACRE,CONTROL OF SHOOT BLIGHT IN POPLARSPRAY OF BLITOX3 GM IN 1 LITER WATER,CONTROL OF BLIGHT IN POPALERSPRAY OF BLITOX3GM IN PER LITER WATER,SPRAY BAVISTIN 50 GM IN 10 LITRE OF WATER,spray of blitox 3 gm in 1 liter water,0.378402
Poplar,leaf spot,HIMACHAL PRADESH,control Leaf Sport in Poplar Plant  are  Spray Bavistin  1 gm 1 liter of water ,No answer,No answer,No answer,No answer,0.372077
Poplar,rust,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.672357
Poplar,blight,UTTAR PRADESH,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER ,SOILDRENCHING WITH CARBENDAZIM  1 GMLITOF WATER,SOILDRENCHING WITH CARBENDAZIM  1 GMLITOF WATER,SPRAY SPRAY MANCOZEB2GRAMLITER OF WATER,SPRAY CARBENDAZIM  25 GMLITOF WATER,0.739547
Poplar,powdery mildew,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,1.395702
Potato,wilt,PUNJAB,No answer,No answer,No answer,No answer,No answer,1.602178
Potato,blight,UTTAR PRADESH,mancozeb 30 gram  Imidachloprid 178 SL 8ml  streptocycline 15 gram prati tanki ki dar se spray kare,copper oxi cloraid 50  wp  600  gram   12  gram  streptocyclin acre  250   liter pani ke sath spray,kisan bhai aap Carbendazim 12  Mancozeb 63 WP 400 gram dvaacre 200 litre pani me milakar spray kare,copper oxicloraid  50 wp  600  gram  12 gram streptocyclin  acre   300   liter pani ke dar se spray,kisan bhai aap Carbendazin 12  Mancozeb 63 WP 400 gram dvaacre 200 litre pani me milakar spray kare,7.737516
Potato,scab,HARYANA,spray of blue copper  300 gm in 150 litre of wateracre,dip seed in aglal  25 gm  10 liter for 25 minutes,No answer,No answer,No answer,1.024674
Potato,canker,ASSAM,No answer,No answer,No answer,No answer,No answer,1.155681
Potato,pink rot,ODISHA,No answer,No answer,No answer,No answer,No answer,1.201734
Pumpkin,sucking pest,MAHARASHTRA,attack of sucking pest on pumpkin  Spray Actra 5 gm15 Liter of Water(Thiomithoxom 25)Syngenta,ATTACK OF SUCKING PEST IN PUMPKINSpray of Confidor 10 ml Super Confidor 10 ml 15 litar water,ATTACK OF SUCKING PEST ON PUMPKINSpray Actra 5 gm15 Liter of Water(Thiomithoxom 25)Syngenta,you can spray dimithoet 2 mili liter water use for sucking pest control on pumpkin crop,spray actra 5gm  M45 30gm  15 liter of water for controlling  sucking pest on pumpkin,0.748231
Pumpkin,powdery mildew,ODISHA,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW OF PUMPKIN,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW IN PUMPKIN,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW OF PUMPKIN,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW IN PUMPKIN,RECOMMENDED TO APPLY WETTABLE SULPHOS 80WP 4GM1 LITRE WATER  TO CONTROL POWDERY MILDEW IN PUMPKIN ,3.16378
Pumpkin,mildew,ODISHA,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW OF PUMPKIN,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW IN PUMPKIN,Recommended to spray Metalaxyl  Mancozeb(Riomil) 25gm per litre to control Downy Mildew in Pumpkin,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW OF PUMPKIN,RECOMENDED TO SPRAY WETEBLE SULPHUR (SULPHEX) 4GMLITER WATER TO CONTROLL POWDERY MILDEW IN PUMPKIN,1.351141
Pumpkin,red beetle,WEST BENGAL,RECOMMENDED FOR SPRAY  CARTAP HYDROCHLORIDE 50 SP  1 GM   LIT OF WATER,RECOMMENDED FOR SPRAY AZADIRACTIN 1 (10000 PPM)  3 ML  LIT OF WATER,RECOMMENDED FOR SPRAY  ACETAMIPRIDE 20 SP  1 GM   5 LIT OF WATER,RECOMMENDED FOR SPRAY   DICHLORVOS 76 EC   15 ML  2 LIT OF WATER,RECOMMENDED FOR SPRAY THIAMETHOXAM 25 WG  1 GM  25 LIT OF WATER,2.130899
Pumpkin,yellowing,ODISHA,RECOMMENDED TO APPLY DIMETHOATE 30(ROGOR)2ML IN 1 LITRE WATER TO CONTROL YELLOWING OF PUMPKIN LEAF,RECOMMENDED TO APPLY DIMETHOATE 30EC (ROGOR)2ML1 LITRE WATER TO CONTROL LEAF YELLOWING IN  PUMPKIN,YELLOWING OF LEAF IN PUMPKIN RECOMMENDED TO SPRAY IMIDACHLOPRID 1ML3LIT WATER AT 10 DAYS INTERVAL,yellowing of leaf in pumpin recommended to spray water by sprayer twice in afternoon and morning,RECOMMENDED FPOR SPRAY TATAMIDA 1ML3L OF WATER FOR LEAF CURL  YELLOWING OF LEAVES IN PUMPKIN,1.782082
Radish,blight,RAJASTHAN,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,0.561188
Radish,blight,ODISHA,Recommended to spray mancozeb 75 WP 25gm per litre of water to control Alternaria Blight in Radish,Recommended to spray Mancozeb 75 WP 25gm per litre of water to control Alternaria Blight in Radish,RECOMMENDED SPRAY OF MANCOZEB 75 WP  3gLITRE OF WATER FOR CONTROLLING ALTERNARIA BLIGHT IN RADISH,spray CarbendazimMancozeb(SaafSixer) 2gm per litre of water to control leaf blight in radish,RECOMMENDED TO APPLY MANCOZEB 75WP 3GM1 LITRE WATER TO CONTROL ALTERNARIA BLIGHT IN RADISH,0.451445
Radish,caterpiler,UTTAR PRADESH,Aap muli me Dichlorvos 76 EC ki 2mlliter pani me milaker spray karen,Dichlorvos 76 EC  2 mili liter pani ke sath spray kare,Carbofuran 3G  8 kgacre ki dar se prayog ka,SPRAY MALATHIAN  15 MLLITOF WATER,SPRAY CARBARIL  25 GMLITOF WATER,1.136345
Radish,scab,CHHATTISGARH,No answer,No answer,No answer,No answer,No answer,0.354871
Radish,aphid,UTTAR PRADESH,kisan bhai  Imidacloprid 178 SL ki 1 ml matra 2liter paani ki dar se spray kare,imidakloprid 178  SL  05 mililitar dava prati litar pani me gholakr spre kare,Imidacloprid 178 SL 100 ml acre ki dar se 200 litar pani ke sath spray kren,Spray Imidachloprid 178 SL  100 mililitre acre in 200  250 litres of water,Imidachloprid 178 SL 100 ml ACRE 200 liter pani ka ghol banaker spray kare,0.826211
Rajma (french bean),sucking pest,MAHARASHTRA,sucking pest on rajma beanspray tata mida 10ml bavistin 30gm 15 lit of water,Spray Actra 5 gm  15 Lit of WaterSpray Redomil Gold 30gm 15Lit of Water,Sucking Pest on beanSpray Confidor super  Confidor 10ml15 Lit of Water,to control sucking pest on rajma Spray Confidor 10ml15 Lit of Water,Spray Roger 15 ml15 Liter of Water (Dimethoate),0.474921
Rajma (french bean),aphid,UTTAR PRADESH,SPRAY OF IMIDACHLOPRID 178 SL 7 ML15 LITER OF WATER,No answer,No answer,No answer,No answer,0.456819
Rajma (french bean),thrips,MAHARASHTRA,attack of  Thrips and Jassids rajmaSpray Actra 5 gm15 Liter of Water(Thiomithoxom 25)Syngenta,Spray Regent 30 ml  BAVISTIN 30 GRAM 15 liter water(Fipronil 5 SC)Bayer,Spray Tata manik 10 gm15 liter of water(Acetamapride20SP)Tata Rallis,Spray super confidor 04 ml 15 liter of water(Imida 178 sl)Bayer,Spray Actra 5 gm15 Liter of Water(Thiomithoxom 25)Syngenta,0.430173
Rajma (french bean),caterpillar,MAHARASHTRA,ATTACK OF CATERPILLAR ON TUR IN FLOWERING STAGE   Spray Neem Solution 30 ml15 Liter of Water,Spray Profex super 20 ml15 liter of water(Profenofos Cypermethrin) Nagarjuna,Spray Profex super 30 ml15 liter of water(Profenofos Cypermethrin)Nagarjuna,Spray Profex super 30 ml15 liter of water(Profenofos Cypermethrin)Nagarjuna,SPRAY PROFEX  SUPER30 ML   005234 60 GRAM  MICROLA 40 ML IN 15 LIT OF WATER,0.449536
Rajma (french bean),anthracnose,JAMMU AND KASHMIR,No answer,No answer,No answer,No answer,No answer,0.330117
Raya (Indian Mustard),blight,PUNJAB,I TOLD FARMER SPRAY INDOFIL M45  500 GM IN 200 LITERS OF WATERACRE,SPRAY 250GM BLITOX IN 100LT WATERACRE,         250         45  100        ,       250      45  100        ,       250      45  100        ,0.387686
Raya (Indian Mustard),downy mildew,BIHAR,No answer,No answer,No answer,No answer,No answer,0.356969
Raya (Indian Mustard),thirips,HARYANA,spray of melathion  200 ml200 liter wateracre  or ROGOR 350 ml200 litre of water,spray of melathion  200 ml200 liter wateracre  or ROGOR 350 ml200 litre of water,No answer,No answer,No answer,0.357729
Raya (Indian Mustard),sucking pest,RAJASTHAN,SPRAY  IMMIEDACLORPID  178  SL    05  ML LITTER WATER,SPRAY  IMMIEDACLORPID  178  SL    05  ML LITTER WATER,SPRAY  IMMIEDACLORPID  178  SL    05  ML LITTER WATER,SPRAY  IMMIEDACLORPID  178  SL    05  ML LITTER WATER,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER ,0.475236
Raya (Indian Mustard),stem rot,UTTAR PRADESH,     50 WP 500 200          ,No answer,No answer,No answer,No answer,0.762352
Rubber,termite,KERALA,Suggested to contact punalur krishibhavan ,RECOMMENDED TO APPLY CHLORPYRIPHOS 2 MLL,RECOMMENDED TO CHLORPYRIPHOS 3MLL,No answer,No answer,0.381265
Rubber,leaf blight,KERALA,No answer,No answer,No answer,No answer,No answer,0.442439
Rubber,leaf fall,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.466678
Rubber,shoot rot,KERALA,No answer,No answer,No answer,No answer,No answer,0.433143
Rubber,fungus,KERALA,apply 1  bordeux mixture or phytolan or copperoxy chloride(2 gm per 1 litre of water,apply bordeaux mixture to the plant or fytolan 4 gramlitre,apply coc (copper oxy chloride) 4 gramlitre,rubber fungus attackapply bordeaux mixture,rubber fungus attackapply bordeaux mixture,0.386037
Safed Musli,fungus,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.534651
Safed Musli,leaf spot,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.814149
Safed Musli,blight,MADHYA PRADESH,diamethomorph 200gmacre 200 lit water( acrovate ) basf company,Spray recommended dose of Antracol 70 WP 2530 gram per pump,spray mancozeb 3glitre of water,No answer,No answer,0.54498
Safed Musli,leaf spot,UTTAR PRADESH,kisan bhai safedmusli  me Copper Oxychloride 50 WP 25 gramliter ka  spray kare,Copper Oxychloride 50 WP 600 gramekad 200 liter pani ki dar se spray kare,copper oxychlorider 50 WP 23  gram liter pani ka ghol banaker spray kare,Dear farmer use to Carbendazim 50 WP 1gliter water splash in the field,Dear farmer use to Carbendazim 50 WP 1gliter water splash in the field,0.561431
Safed Musli,blight,RAJASTHAN,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,DAIFENOKONAJOL 1 ML LITER SPRAY KARE,No answer,No answer,No answer,0.425133
Saffron,aphid,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.402466
Saffron,aphid,UTTAR PRADESH,spray of emidaclorprid 178 SL 100 MLACRE,dimethoet 30 200 mlekd ka spray kare,         25 EC 400 ml   200        ,No answer,No answer,0.458356
Saffron,blight,RAJASTHAN,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,No answer,No answer,No answer,No answer,0.409948
Saffron,blotch,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.396439
Saffron,blotch,TAMILNADU,recommended for Leaf spot controlled by spraying Carbendazim 200 gm acre  Mancozeb 200gm ac,recommended for the spray Carbendazim 2gm  lit of water,Recommended for spray carbendazim 2 g  litre of water,Recommended for spray Carbendazim 2gm  lit,No answer,0.349705
Sandal Wood,catterpillar,HIMACHAL PRADESH,No answer,No answer,No answer,No answer,No answer,0.343001
Sandal Wood,scales,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.345024
Sandal Wood,seedling rot,HARYANA,No answer,No answer,No answer,No answer,No answer,0.360082
Sandal Wood,fungus,HARYANA,No answer,No answer,No answer,No answer,No answer,0.355711
Sandal Wood,mealy bug,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.366952
Sorghum (JowarGreat Millet),caterpillar,MAHARASHTRA,for control of caterpillar on sorghum Spray Josh 30 gm  15 litre water  Water(Triazophose 40 EC)UPL,THE CATERPILLAR ATTACK ON SORGHUMSpray Proclaim 5gm15lit of Water (Emamectin Benzoate 5 SG)Syngenta,control of caterpillar on sorghum  Spray Proclaim 5 gm15 liter of Water(Emamectin Benzoate)Syngenta,ATTACK OF CATERPILLAR on sorghum  Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,Spray Chloropyriphos 30Ml  Humic Acid 30ml 15 Lit Of WaterHumic Acid 30ml15 Lit of Water Drenching,2.257225
Sorghum (JowarGreat Millet),wilt,MAHARASHTRA,tapply himet 10 kg per acre for root borer  drenching of bavistin 15 gm per pump wilt in sorghum,for control of wilt on sorghum  DRENCHING OF  RIDOMIL GOLD 30 GM  15 LITERS OF WATER SYNGENTA,drenching Blue Copper 40 gm humic acid 30 ml 15 liter water (Copper Oxichloride)syngenta,FOR CONTROL OF WILT DISEASE ON JOWAR CROP Spray Chloropyriphos 30 ml15 Lit of Water,DRAINCHING OF BLUE COPPER 30 GM  HUMIC ACID 30 ML  BAVISTINE 30 GM15 LITER WATER ,1.317412
Sorghum (JowarGreat Millet),aphids,MAHARASHTRA,FARMER ASKED FOR ATTACK OF APHIDS ON JOWARSPRAY NUVAN 30 ML  15 LITERS OF WATER ( Dichlorvos 76 EC),you can spray trayzophos 40 mili asefet 30 gram pamp water use for  sucking pest control on sorghum, FOR CONTROL OF ATTACK OF APHIDS ON SORGHUM Spray Rogar 15ml15 Liter of Water(Dimethoate)Cheminova,control of APHIDS on jowarSpray Actra5 gmBavistine30gm15 Liter of Water(Thiomithoxom 25)Syngenta,CONTROL  ATTACK OF  WOOLY APHIDS ON SORGHUM SPRAY ROGAR 20 ML 15 liter water (Dimethoate 30 EC),1.600264
Sorghum (JowarGreat Millet),stem borer,MAHARASHTRA,For control of  Stem Borer on sorghum  Spray Nuvan 15 ml 15Lit of Water(Diclorvos 76)Cheminova,spray chloropyriphos 30 ml  saaf 20 gm  15 litter of water for controlling stem boror in jowar,spray chloropyriphos 30 ml  M45 30 gm  15 litter of water for controlling stem boror in jowar,spray procklaim 8 gm  bavistin 15 gm  15 litter of water for controlling stem boror in jowar,SPRAY NUVAN 20 ML  15 LITERS OF WATER ( Dichlorvos 76 EC)Spray Bavistine 30gm15lit of Water,3.153726
Sorghum (JowarGreat Millet),caterpillar,GUJARAT,to use monocrotophos 18 ml per pump and to spray,i suggested to sprey quinalphos 20 mlpump,I suggested to sprey quinalphos 20 mlpump,I suggested to sprey quinalphos 20 mlpump,I suggested to sprey quinalphos 30 mlpump,0.946666
Soybean (bhat),redmites,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,6.75563
Soybean (bhat),stem borer,MAHARASHTRA,FOR CONTROL OF  STEM  BORER ON SOYBEAN  Spray Nuvan  20 ml 15Lit of Water(Diclorvos 76)Cheminova,FOR CONTROL OF  STEM BORER ON SOYBEAN SPRAY NUVAN 20 ML  15 LITERS OF WATER ( Dichlorvos 76 EC),STEM BORER ON SOYBEAN Spray Coragen 5ml15 Lit of Water( chlorantraniliprole 185 SC)Dupont India,FOR CONTROL  OF STEM BORER ON SOYBEAN SPRAY NUVAN 20 ML  15 LITERS OF WATER ( Dichlorvos 76 EC),For control of Stem Borer on soybean Spray  Nuvan 20 ML  15 litre of water ( Dichlorvos 76 EC),11.385053
Soybean (bhat),caterpillar,MAHARASHTRA,ATTACK OF CATTERPILLAR ON  soybeanSpray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,attack of Caterpillar  on soybean Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,ATTACK OF CATERPILLAR ON SOYBEAN  Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,ATTACK OF CATTERPILLAR ON soybean Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,Attack of Caterpillar on soybean  Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,6.81229
Soybean (bhat),sucking pest,MAHARASHTRA,Attack of Sucking Pest on soyabeanSpray Confidor super  Confidor 10ml  bavistin 30gm15 Lit of Water,For control  of sucking pest on soybean  Spray Proclaim 5gm15lit of Water (Emamectin Benzoate 5 SG),recommended for to control sucking pest in soyabean  crop spray fipronil 30 ml at 15 liter of water,spray supar confidor  6 ml   saaf 20 gm  15 litter of water for controlling sucking pest on soybean,spray supar confidor 6 ml  saaf 20 gm  15 liter of water for controlling sucking pest on groundnut,13.230787
